id,year,month,geoid,cii.indoor.demand,cii.indoor.total_use,cii.total_use,indoor.demand,outdoor.demand
233,2014,4,60375700032,498626.66,498626.66,498626.66,1.6620889e+06,1.5889904e+06
234,2014,4,60375700033,299689.38,299689.38,299689.38,998964.56,1.01997325e+06
235,2014,4,60375700034,255632.06,255632.06,255632.06,852106.9,949007.25
236,2014,4,60375700035,345460.8,345460.8,345460.8,1.1515361e+06,1.2012588e+06
237,2014,4,60375707011,322026.25,322026.25,322026.25,1.0734209e+06,1.118035e+06
238,2014,4,60375707012,1.0988344e+06,1.0988344e+06,1.0988344e+06,3.6627812e+06,1.9728512e+06
239,2014,4,60375707013,269694.62,269694.62,269694.62,898982.06,996747.94
240,2014,4,60375707014,322372.56,322372.56,322372.56,1.0745752e+06,1.179969e+06
241,2014,4,60375707015,825521.25,825521.25,825521.25,2.7517375e+06,3.1360465e+06
242,2014,4,60375707021,589185.3,589185.3,589185.3,1.9639511e+06,1.7038262e+06
243,2014,4,60375707022,421052.9,421052.9,421052.9,1.4035096e+06,1.6702785e+06
244,2014,4,60375708001,512505.8,512505.8,512505.8,1.7083528e+06,2.007044e+06
245,2014,4,60375708002,510562.5,510562.5,510562.5,1.701875e+06,1.8573705e+06
246,2014,4,60375708003,495048.7,495048.7,495048.7,1.6501622e+06,3.0792738e+06
247,2014,4,60375708004,409650.8,409650.8,409650.8,1.3655028e+06,1.5186696e+06
248,2014,4,60375708005,374697.94,374697.94,374697.94,1.2489931e+06,3.1354012e+06
249,2014,4,60375709011,555881.3,555881.3,555881.3,1.8529378e+06,2.1631688e+06
250,2014,4,60375709012,526265.94,526265.94,526265.94,1.7542198e+06,2.3225198e+06
251,2014,4,60375709013,519092.16,519092.16,519092.16,1.7303071e+06,2.0909128e+06
252,2014,4,60375709014,288562.97,288562.97,288562.97,961876.6,1.0741652e+06
253,2014,4,60375709015,438481.3,438481.3,438481.3,1.4616044e+06,1.9560775e+06
254,2014,4,60375709021,453333.1,453333.1,453333.1,1.5111104e+06,1.636086e+06
255,2014,4,60375709022,583647.3,583647.3,583647.3,1.9454911e+06,2.293488e+06
256,2014,4,60375709023,479885.97,479885.97,479885.97,1.5996199e+06,1.8457578e+06
257,2014,4,60375710001,438752.06,438752.06,438752.06,1.4625069e+06,2.9425032e+06
258,2014,4,60375710002,377606.4,377606.4,377606.4,1.258688e+06,1.828339e+06
259,2014,4,60375710003,412676.47,412676.47,412676.47,1.3755881e+06,1.3831894e+06
260,2014,4,60375710004,333007.7,333007.7,333007.7,1.1100256e+06,992877.1
261,2014,4,60375710005,304861.16,304861.16,304861.16,1.0162038e+06,1.13997e+06
262,2014,4,60375710006,539661.9,539661.9,539661.9,1.798873e+06,1.4393169e+06
263,2014,4,60375711011,301232.84,301232.84,301232.84,1.0041095e+06,912234.06
264,2014,4,60375711012,340874.84,340874.84,340874.84,1.1362495e+06,1.0857779e+06
265,2014,4,60375711013,465637.1,465637.1,465637.1,1.5521236e+06,1.5586686e+06
266,2014,4,60375711014,501400.8,501400.8,501400.8,1.671336e+06,1.4586712e+06
267,2014,4,60375711015,297148.78,297148.78,297148.78,990495.94,1.9883348e+06
268,2014,4,60375711021,337583.5,337583.5,337583.5,1.1252782e+06,1.0515852e+06
269,2014,4,60375711022,374078.6,374078.6,374078.6,1.2469286e+06,1.1786786e+06
270,2014,4,60375711023,347385.66,347385.66,347385.66,1.1579522e+06,1.7547925e+06
271,2014,4,60375711024,255984.89,255984.89,255984.89,853282.94,1.690278e+06
272,2014,4,60375711025,304731.88,304731.88,304731.88,1.01577294e+06,930943.1
273,2014,4,60375713001,541886.94,541886.94,541886.94,1.8062898e+06,2.5592875e+06
274,2014,4,60375713002,405815.5,405815.5,405815.5,1.3527184e+06,6.3327365e+06
275,2014,4,60375713003,604548.4,604548.4,604548.4,2.0151612e+06,2.9205682e+06
276,2014,4,60375713004,300546.03,300546.03,300546.03,1.00182006e+06,1.0064251e+06
277,2014,4,60375714001,512143.66,512143.66,512143.66,1.7071455e+06,1.533508e+06
278,2014,4,60375714002,258366.66,258366.66,258366.66,861222.2,972877.56
279,2014,4,60375714003,270764.44,270764.44,270764.44,902548.2,3.3882978e+06
280,2014,4,60375714004,543950.6,543950.6,543950.6,1.8131688e+06,1.69931e+06
281,2014,4,60375714005,435519.44,435519.44,435519.44,1.4517315e+06,1.2954498e+06
282,2014,4,60375715031,914311.5,914311.5,914311.5,3.047705e+06,1.0664235e+06
283,2014,4,60375715042,537781.1,537781.1,537781.1,1.7926038e+06,169672.95
284,2014,4,60375719003,606017.3,606017.3,606017.3,2.0200576e+06,37418.367
285,2014,5,60375550011,467663.6,467663.6,467663.6,1.5588786e+06,3.7055545e+06
286,2014,5,60375550012,273278.72,273278.72,273278.72,910929.1,908828.8
287,2014,5,60375550013,485448.2,485448.2,485448.2,1.6181606e+06,1.7551275e+06
288,2014,5,60375550014,959361.94,959361.94,959361.94,3.197873e+06,2.538896e+06
289,2014,5,60375550021,542746.3,542746.3,542746.3,1.8091545e+06,2.0857664e+06
290,2014,5,60375550022,919051.2,919051.2,919051.2,3.063504e+06,3.7081245e+06
291,2014,5,60375551021,1.5695571e+06,1.5695571e+06,1.5695571e+06,5.231857e+06,4.2777485e+06
292,2014,5,60375551022,958623.4,958623.4,958623.4,3.1954112e+06,1.2463204e+06
293,2014,5,60375551031,1.0546266e+06,1.0546266e+06,1.0546266e+06,3.5154222e+06,3.112803e+06
294,2014,5,60375551032,866600.25,866600.25,866600.25,2.8886675e+06,2.9860295e+06
295,2014,5,60375551041,1.02881206e+06,1.02881206e+06,1.02881206e+06,3.4293735e+06,3.2806922e+06
296,2014,5,60375700011,506222.84,506222.84,506222.84,1.6874095e+06,4.043903e+06
297,2014,5,60375700012,334855.6,334855.6,334855.6,1.1161852e+06,1.1169772e+06
298,2014,5,60375700013,604127.3,604127.3,604127.3,2.0137578e+06,3.5025458e+06
299,2014,5,60375700014,452881.97,452881.97,452881.97,1.5096065e+06,2.0463639e+06
300,2014,5,60375700021,387889.5,387889.5,387889.5,1.292965e+06,2.1945518e+06
301,2014,5,60375700022,306911.62,306911.62,306911.62,1.02303875e+06,1.4193491e+06
302,2014,5,60375700023,453590.34,453590.34,453590.34,1.5119679e+06,2.423258e+06
303,2014,5,60375700031,428186.53,428186.53,428186.53,1.4272885e+06,2.6005695e+06
304,2014,5,60375700032,515247.56,515247.56,515247.56,1.7174919e+06,2.1097508e+06
305,2014,5,60375700033,309679.03,309679.03,309679.03,1.0322634e+06,1.3542492e+06
306,2014,5,60375700034,264153.12,264153.12,264153.12,880510.44,1.2600256e+06
307,2014,5,60375700035,356976.2,356976.2,356976.2,1.1899206e+06,1.5949475e+06
308,2014,5,60375707011,332760.47,332760.47,332760.47,1.1092016e+06,1.4844489e+06
309,2014,5,60375707012,1.1354621e+06,1.1354621e+06,1.1354621e+06,3.784874e+06,2.6194142e+06
310,2014,5,60375707013,278684.44,278684.44,278684.44,928948.1,1.3234124e+06
311,2014,5,60375707014,333118.3,333118.3,333118.3,1.1103944e+06,1.5666804e+06
312,2014,5,60375707015,853038.6,853038.6,853038.6,2.843462e+06,4.1638238e+06
313,2014,5,60375707021,608824.8,608824.8,608824.8,2.0294161e+06,2.2622218e+06
314,2014,5,60375707022,435088,435088,435088,1.4502932e+06,2.2176792e+06
315,2014,5,60375708001,529589.4,529589.4,529589.4,1.7652979e+06,2.664813e+06
316,2014,5,60375708002,527581.25,527581.25,527581.25,1.7586041e+06,2.466087e+06
317,2014,5,60375708003,511550.3,511550.3,511550.3,1.7051678e+06,4.0884448e+06
318,2014,5,60375708004,423305.84,423305.84,423305.84,1.4110195e+06,2.0163836e+06
